concept_en,pair_name,pair_class,src_lang,layer,donor_type,kl_to_native,english_first_step_mass
flower,ben_to_guj,test_cross_script_same_family,ben_Beng,26,devanagari,0.00027549519633927703,0.3773386776447296
flower,ben_to_guj,test_cross_script_same_family,ben_Beng,26,hindi,0.00028454056047644456,0.35575729608535767
flower,ben_to_guj,test_cross_script_same_family,ben_Beng,27,native,0.0,0.32421281933784485
flower,ben_to_guj,test_cross_script_same_family,ben_Beng,27,roman,0.0,0.32421281933784485
flower,ben_to_guj,test_cross_script_same_family,ben_Beng,27,devanagari,0.0,0.32421281933784485
flower,ben_to_guj,test_cross_script_same_family,ben_Beng,27,hindi,0.0,0.32421281933784485
tree,ben_to_guj,test_cross_script_same_family,ben_Beng,25,native,0.0,0.4137377440929413
tree,ben_to_guj,test_cross_script_same_family,ben_Beng,25,roman,0.0011282956169734668,0.3951777517795563
tree,ben_to_guj,test_cross_script_same_family,ben_Beng,25,devanagari,5.1204321236228664e-05,0.41009366512298584
tree,ben_to_guj,test_cross_script_same_family,ben_Beng,25,hindi,5.841355812063604e-05,0.4100320041179657
tree,ben_to_guj,test_cross_script_same_family,ben_Beng,26,native,0.0,0.4133468568325043
tree,ben_to_guj,test_cross_script_same_family,ben_Beng,26,roman,0.00023316453065844292,0.40609920024871826
tree,ben_to_guj,test_cross_script_same_family,ben_Beng,26,devanagari,4.276719929001634e-05,0.40973183512687683
tree,ben_to_guj,test_cross_script_same_family,ben_Beng,26,hindi,0.00012140825003674611,0.4058939516544342
tree,ben_to_guj,test_cross_script_same_family,ben_Beng,27,native,0.0,0.4022546410560608
tree,ben_to_guj,test_cross_script_same_family,ben_Beng,27,roman,0.0,0.4022546410560608
tree,ben_to_guj,test_cross_script_same_family,ben_Beng,27,devanagari,0.0,0.4022546410560608
tree,ben_to_guj,test_cross_script_same_family,ben_Beng,27,hindi,0.0,0.4022546410560608
river,ben_to_guj,test_cross_script_same_family,ben_Beng,25,native,0.0,0.4587233066558838
river,ben_to_guj,test_cross_script_same_family,ben_Beng,25,roman,0.00039937981907674637,0.4618494212627411
river,ben_to_guj,test_cross_script_same_family,ben_Beng,25,devanagari,3.7972697845037895e-05,0.4588411748409271
river,ben_to_guj,test_cross_script_same_family,ben_Beng,25,hindi,5.492287720390072e-05,0.45895305275917053
river,ben_to_guj,test_cross_script_same_family,ben_Beng,26,native,0.0,0.46266815066337585
river,ben_to_guj,test_cross_script_same_family,ben_Beng,26,roman,0.00022100727984580805,0.470716655254364
river,ben_to_guj,test_cross_script_same_family,ben_Beng,26,devanagari,5.883630697728324e-05,0.4625827670097351
river,ben_to_guj,test_cross_script_same_family,ben_Beng,26,hindi,4.527395240374098e-05,0.4625694751739502
river,ben_to_guj,test_cross_script_same_family,ben_Beng,27,native,0.0,0.4743357300758362
river,ben_to_guj,test_cross_script_same_family,ben_Beng,27,roman,0.0,0.4743357300758362
river,ben_to_guj,test_cross_script_same_family,ben_Beng,27,devanagari,0.0,0.4743357300758362
river,ben_to_guj,test_cross_script_same_family,ben_Beng,27,hindi,0.0,0.4743357300758362
mountain,ben_to_guj,test_cross_script_same_family,ben_Beng,25,native,0.0,0.4970254898071289
mountain,ben_to_guj,test_cross_script_same_family,ben_Beng,25,roman,0.0002557200346275934,0.48913609981536865
mountain,ben_to_guj,test_cross_script_same_family,ben_Beng,25,devanagari,0.00013435969799313325,0.5048173666000366
mountain,ben_to_guj,test_cross_script_same_family,ben_Beng,25,hindi,3.3409386651680974e-05,0.49322396516799927
